사업장명,도로명주소,소재지면적,위도,경도
미니스톱가양점,서울특별시 강서구 양천로 461,6.60,37.5488695,126.8781594
세븐일레븐(발산점),서울특별시 강서구 강서로47길 25,2.20,37.55264525,126.83482179237733
세븐일레븐(등촌5호점),서울특별시 강서구 강서로68길 12,8.59,37.566245949999995,126.84158444671658
세븐일레븐(개화산역점),서울특별시 강서구 양천로 34,3.07,37.57255455,126.80774582562303
세븐일레븐(방화점),서울특별시 강서구 금낭화로 146,2.28,37.5761896,126.8122948
세븐일레븐(공항점),서울특별시 강서구 방화대로6나길 1,1.92,37.5550553,126.81685766040954
세븐일레븐(화곡3호),서울특별시 강서구 화곡로20길 58,3.30,37.5389107,126.8366595
미니스톱공항대로점,서울특별시 강서구 공항대로 38,3.24,37.5572089,126.8414729
세븐일레븐 등촌청림점,서울특별시 강서구 공항대로45길 44,2.76,37.5575077,126.856133
미니스톱화곡공원점,서울특별시 강서구 까치산로4길 34,2.85,37.5407521,126.8457235
세븐일레븐(S김포공항역점),서울특별시 강서구 하늘길 지하 77,2.00,0.0,0.0
세븐일레븐(S발산역),서울특별시 강서구 강서로 272,4.00,37.55814195,126.8377962485371
세븐일레븐(S화곡역점),서울특별시 강서구 화곡로 164,1.50,37.5575476,126.853233
세븐일레븐(S우장산역점),서울특별시 강서구 강서로 261,6.00,37.5492397,126.83594448614681
세븐일레븐(S까치산역점),서울특별시 강서구 강서로 지하 54,4.00,0.0,0.0
세븐일레븐(S방화역점),서울특별시 강서구 금낭화로 132,4.00,37.5761896,126.8122948
미니스톱가양대교점,서울특별시 강서구 양천로 492,6.60,37.5608976,126.85460682781894
세븐일레븐(S개화산역점),서울특별시 강서구 양천로 22,6.60,37.5488695,126.8781594
GS25 가양우성점,서울특별시 강서구 양천로57길 10-20,16.50,37.5638076,126.8525348
세븐일레븐 발산신화점,서울특별시 강서구 강서로 360,66.00,37.5596089,126.838587
씨유 공항빌리지점,서울특별시 강서구 방화대로6길 33,6.60,37.554993350000004,126.81863839845138
이마트24강서등마루점,서울특별시 강서구 등촌로51길 11,5.00,37.5493432,126.8607811
씨유 등촌호서점,서울특별시 강서구 강서로56가길 69,6.60,37.5595538,126.8395988
씨유 화곡이슬점,서울특별시 강서구 곰달래로24길 19,5.00,37.529639,126.847149
씨유 염창동아점,서울특별시 강서구 양천로 731,3.00,37.5502498,126.8774176
씨유 염창1호점,서울특별시 강서구 양천로 713,3.30,37.5488695,126.8781594
씨유 화곡초록마을점,서울특별시 강서구 강서로18다길 41,10.00,37.5352027,126.8481847
씨유 강서가로공원점,서울특별시 강서구 가로공원로 216,3.30,37.5370449,126.8357507
GS25강서드림점,서울특별시 강서구 강서로 155,3.30,37.5596089,126.838587
지에스25방화동부점,서울특별시 강서구 방화대로45길 52,3.30,37.5744543,126.8138593
세븐일레븐(롯데스카이파크점),서울특별시 강서구 하늘길 38,6.60,37.5676744,126.8020277
미니스톱(화곡다솔점)내,서울특별시 강서구 화곡로20길 42,6.60,37.5389107,126.8366595
미니스톱 비즈메트로점,서울특별시 강서구 양천로 551-17,24.00,37.55916875,126.86096812022427
씨유 개화산역점,서울특별시 강서구 양천로 19,10.00,37.5488695,126.8781594
씨유화곡일등점,서울특별시 강서구 화곡로27가길 2,6.60,37.5430674,126.8418415
씨유방화오피스점,서울특별시 강서구 개화동로27가길 33,10.00,37.5633028,126.8071596
씨유화곡양서점,서울특별시 강서구 가로공원로84길 82,3.30,37.5354953,126.8418313
씨유 강서스카이점,서울특별시 강서구 강서로5나길 50,5.50,37.5284255,126.8437594
씨유 가양오피스점,서울특별시 강서구 강서로74길 28,6.00,37.5664168,126.8446861
세븐일레븐 등촌두보점,서울특별시 강서구 공항대로58나길 40-44,6.60,37.5508208,126.8591093
CU화곡아이파크점,서울특별시 강서구 화곡로59길 17,3.30,37.5537494,126.8481777
CU화곡곰달래점,서울특별시 강서구 곰달래로49길 15,3.30,37.5372656,126.853675
씨유 화곡사거리점,서울특별시 강서구 곰달래로 123,3.30,37.5312794,126.8548343
씨유 마곡아르디에,서울특별시 강서구 강서로 423,7.00,37.5596089,126.838587
씨유 마곡엘리안점,서울특별시 강서구 강서로 409,7.00,37.5596089,126.838587
씨유 마곡투웨니점,서울특별시 강서구 강서로 443,6.70,37.5596089,126.838587
미니스톱 우리동네점,서울특별시 강서구 강서로7길 89,6.70,37.5293488,126.8448368
세븐일레븐 강서화곡로점,서울특별시 강서구 화곡로 296,6.60,37.5575476,126.853233
GS25 화곡곰달래점,서울특별시 강서구 곰달래로 178,3.30,37.5312794,126.8548343
씨유 강서태양점,서울특별시 강서구 강서로18길 146,3.30,37.5351969,126.8522758
세븐일레븐 강서화곡중앙점,서울특별시 강서구 화곡로 130,6.60,37.5575476,126.853233
세븐일레븐 화곡스타점,서울특별시 강서구 화곡로31길 85,6.60,37.5444787,126.8404758
세븐일레븐강서화곡예스점,서울특별시 강서구 화곡로42길 35,3.30,37.546189,126.8469033
세븐일레븐 화곡제일점,서울특별시 강서구 초록마을로 3,6.60,37.536725,126.8483271
지에스25 화곡역매점,서울특별시 강서구 곰달래로49길 56,3.30,37.5372656,126.853675
지에스25 방화샤르망,서울특별시 강서구 방화대로47가길 7,3.30,37.5799566,126.8145632
씨유발산열린점,서울특별시 강서구 마곡중앙6로 93,3.30,37.5603203,126.8379486
세븐일레븐 강서화곡한솔점,서울특별시 강서구 까치산로17길 10,6.60,37.5482951,126.8491647
세븐일레븐,서울특별시 강서구 공항대로45길 101,3.30,37.5575077,126.856133
세븐일레븐 방화새싹공원점,서울특별시 강서구 양천로14길 86,6.60,37.5705016,126.8093663
세븐일레븐 강서화곡마을점,서울특별시 강서구 우장산로15길 53,6.90,37.5555342,126.85113601987447
이마트24 마곡미르웰점,서울특별시 강서구 강서로 447,49.00,37.5596089,126.838587
GS25투웨니점,서울특별시 강서구 공항대로59다길 14,6.60,37.5480691,126.8754087
세븐일레븐 신방화역점,서울특별시 강서구 방화대로 319,6.60,37.5496967,126.8165069
세븐일레븐 가양프라자점,서울특별시 강서구 허준로 198,6.60,37.5652368,126.8535763
세븐일레븐 화곡중앙점,서울특별시 강서구 강서로31길 10,6.60,37.5406232,126.8411013
미니스톱 강서우장산점,서울특별시 강서구 강서로48길 47,6.60,37.5525036,126.8383018
세븐일레븐 강서블루나인점,서울특별시 강서구 양천로 583,6.60,37.5571168,126.8640008
세븐일레븐 강서공항대로점,서울특별시 강서구 공항대로59길 16,6.60,37.5543419,126.8634467
세븐일레븐 등촌AWISH점,서울특별시 강서구 양천로 452,6.60,37.56289445,126.85067102892614
세븐일레븐 공항시장역점,서울특별시 강서구 방화동로 58-1,6.60,37.5690165,126.812867
세븐일레븐 강서스토리점,서울특별시 강서구 양천로 128,3.30,37.5488695,126.8781594
세븐일레븐 강서염창점,서울특별시 강서구 양천로73가길 28,6.60,37.5504126,126.8745588
세븐일레븐 강서화곡삼화점,서울특별시 강서구 강서로15길 116,6.60,37.5326476,126.8439461
세븐일레븐 화곡로점,서울특별시 강서구 화곡로60길 33,3.30,37.5534968,126.8524565
지에스25 마곡시티점,서울특별시 강서구 마곡서로 170,6.60,37.5634278,126.8243108
세븐일레븐 강서화곡진주점,서울특별시 강서구 곰달래로36길 17,3.30,37.5303815,126.8538236
지에스25 염창빌리지점,서울특별시 강서구 양천로69길 19,6.60,37.5548311,126.8720968
세븐일레븐 화곡 원룸점,서울특별시 강서구 강서로7길 59,6.60,37.5293488,126.8448368
GS25 화곡도담,서울특별시 강서구 화곡로44가길 43,6.60,37.5492008,126.8501997
지에스25 마곡미르웰점,서울특별시 강서구 강서로 455,3.30,37.5596089,126.838587
세븐일레븐 화곡본동점,서울특별시 강서구 초록마을로14길 37,6.60,37.5410864,126.8487019
GS25 마곡파크뷰점,서울특별시 강서구 마곡중앙6로 85,6.60,37.5603397,126.833454
씨유 화곡정원점,서울특별시 강서구 공항대로46길 57,6.60,37.5529815,126.8515087
씨유 마곡푸르지오점,서울특별시 강서구 마곡중앙6로 10,6.60,37.5603397,126.833454
GS25가양향교점,서울특별시 강서구 양천로49길 54,9.00,37.5714536,126.8402389
세븐일레븐 마곡홈앤쇼핑점,서울특별시 강서구 공항대로 140,3.30,37.55931425,126.8225462
GS25 화곡공원점,서울특별시 강서구 화곡로42가길 9,6.60,37.5457012,126.8454576
미니스톱 강서IT점,서울특별시 강서구 공항대로44길 11,9.00,37.55558485,126.85092970000001
씨유 등촌행복점,서울특별시 강서구 화곡로66길 145,3.30,37.5583189,126.8538698
씨유 등촌오피스점,서울특별시 강서구 양천로66길 21,3.30,37.5543484,126.8652365
지에스25 방화한숲점,서울특별시 강서구 방화대로50길 17,6.60,37.5765263,126.8181642
씨유소나무 공원점,서울특별시 강서구 까치산로15길 17,3.30,37.5468247,126.8478609
GS25화곡도래점,서울특별시 강서구 까치산로20길 11,3.30,37.5484273,126.8515411
GS25 화곡샤인점,서울특별시 강서구 까치산로 69,3.30,37.55493,126.85463
씨유 등촌5단지점,서울특별시 강서구 강서로62길 98,9.90,37.56251,126.84331
CU화곡청산점,서울특별시 강서구 화곡로 158,3.30,37.5575476,126.853233
씨유강서스타점,서울특별시 강서구 강서로54길 90,3.30,37.5585815,126.84362415710298
GS25마곡보타닉,서울특별시 강서구 마곡중앙5로 6,3.30,37.5671609,126.8220048
GS25방화행복점,서울특별시 강서구 양천로24길 93,3.30,37.570935,126.8134114
GS25공항행복점,서울특별시 강서구 방화대로7길 28,3.30,37.5551461,126.813277
씨유 강서웨스턴점,서울특별시 강서구 허준로 47,6.60,37.570592500000004,126.84604363073136
이마트24 강서백점만점,서울특별시 강서구 강서로45길 73,3.30,37.548501349999995,126.83237107063553
씨유송정역점,서울특별시 강서구 공항대로 43,3.30,37.5612563,126.8124407
이마트24 화곡점,서울특별시 강서구 가로공원로 238,3.30,37.5370449,126.8357507
GS25 방화상춘점,서울특별시 강서구 금낭화로19길 26,3.30,37.575611,126.8108588
GS25 화곡까치산점,서울특별시 강서구 강서로17길 29,3.30,37.5334156,126.8455506
GS25화곡소담점,서울특별시 강서구 화곡로44길 12,3.30,37.5480348,126.8471727
세븐일레븐 화곡행복점,서울특별시 강서구 등촌로13길 90,3.00,37.5379589,126.8584522
지에스25등촌한마음점,서울특별시 강서구 공항대로58길 32,3.30,37.5505567,126.8625523
지에스25방화초원로점,서울특별시 강서구 초원로 43,3.30,37.5677926,126.8091483
지에스25마곡오드점,서울특별시 강서구 강서로 429,3.30,37.5596089,126.838587
지에스25화곡달빛,서울특별시 강서구 곰달래로16길 29,3.30,37.5292929,126.8402381
지에스25 화곡초교점,서울특별시 강서구 초록마을로6길 1,3.30,37.540728,126.8469015
지에스25방화5단지점,서울특별시 강서구 금낭화로 287-19,3.30,37.5761896,126.8122948
지에스25화곡으뜸점,서울특별시 강서구 우장산로 125,3.30,37.5544426,126.8407214
GS25 곰달래로,서울특별시 강서구 곰달래로31길 16,3.30,37.5325093,126.8513006
세븐일레븐 화곡신정초교점,서울특별시 강서구 곰달래로31다길 8,3.30,37.5335627,126.8536722
지에스25 등촌서낭점,서울특별시 강서구 화곡로63길 125,3.30,37.5589451,126.845727
이마트24 강서내발산점,서울특별시 강서구 강서로47다길 20,3.30,37.5519942,126.83415447445545
지에스25등촌캐빈,서울특별시 강서구 공항대로51길 17,3.30,37.5556522,126.8567811
세븐일레븐 강서마곡점,서울특별시 강서구 마곡서1로 146,3.30,37.5587099,126.8202816
세븐일레븐 화곡까치산로점,서울특별시 강서구 까치산로 29,3.30,37.55493,126.85463
CU(씨유)뉴화곡우리마을,서울특별시 강서구 강서로7길 107,3.30,37.5293488,126.8448368
세븐일레븐 등촌현대점,서울특별시 강서구 공항대로61길 13,3.30,37.551360349999996,126.86621403744033
세븐일레븐 송정로점,서울특별시 강서구 송정로 60,3.30,37.5580738,126.8111162
GS25염창세빛,서울특별시 강서구 공항대로65길 51,3.30,37.5503534,126.87000085046225
CU마곡엠팰리체,서울특별시 강서구 마곡동로4길 15,3.30,37.5595076,126.8354829
씨유양천향교점,서울특별시 강서구 양천로49길 35,3.30,37.5714536,126.8402389
세븐일레븐 화곡5호점,서울특별시 강서구 강서로17길 62,3.30,37.5334156,126.8455506
GS25방화가온점,서울특별시 강서구 양천로11길 14,3.30,37.5747807,126.8096149
CU 염창월드점,서울특별시 강서구 공항대로59다길 122,3.30,37.55080585,126.86944255211321
지에스25가양2점,서울특별시 강서구 허준로 47,3.30,37.570592500000004,126.84604363073136
세븐일레븐 방화하늘점,서울특별시 강서구 금낭화로 61,3.30,37.5683682,126.811559
이마트24 화곡본동점,서울특별시 강서구 초록마을로10길 21,3.30,37.5411482,126.8497089
GS25 강서등촌점,서울특별시 강서구 강서로 392-11,6.60,37.5596089,126.838587
씨유 화곡월정점,서울특별시 강서구 월정로 156,3.30,37.53301,126.8365271
지에스25 염창현대점,서울특별시 강서구 양천로75길 50,6.60,37.5507345,126.875275
GS25강서화곡점,서울특별시 강서구 까치산로 193,6.60,37.55493,126.85463
씨유 우장산역점,서울특별시 강서구 강서로 251,6.60,37.5596089,126.838587
지에스25 강서화곡로점,서울특별시 강서구 화곡로18길 31,6.60,37.5388791,126.8359689
씨유화곡 소비자점,서울특별시 강서구 화곡로31길 53,7.00,37.5444787,126.8404758
지에스25강서트레벨점,서울특별시 강서구 양천로57길 9-19,6.60,37.5638076,126.8525348
세븐일레븐 화곡까치점,서울특별시 강서구 까치산로2길 3,7.00,37.5398184,126.8432784
씨유 발산센터점,서울특별시 강서구 강서로54길 27,7.00,37.5588719,126.84201
세븐일레븐 마곡6단지점,서울특별시 강서구 마곡서1로 100,3.30,37.5587099,126.8202816
씨유 화곡미라클점,서울특별시 강서구 초록마을로5길 25,7.00,37.5438437,126.8476993
씨유 방화1호점,서울특별시 강서구 방화대로52길 40,4.00,37.5777382,126.8182149
GS25 염창신동아점,서울특별시 강서구 양천로67길 32,5.00,37.5561205,126.8691168
GS25 화곡한나점,서울특별시 강서구 강서로5나길 21,4.00,37.5284255,126.8437594
이마트24 발산현대점,서울특별시 강서구 남부순환로19길 81,7.00,37.547085550000006,126.82428745
지에스25뉴마곡14단지점,서울특별시 강서구 마곡중앙로 33,5.00,37.5572643,126.8261089
세븐일레븐 화곡하늘점,서울특별시 강서구 까치산로18라길 6,4.00,37.5461832,126.853548
지에스25 수명산4단지점,서울특별시 강서구 수명로1길 16,5.00,37.55121645,126.82334457495229
지에스25 등촌한올림점,서울특별시 강서구 화곡로64길 2,3.30,37.556247,126.8564946
지에스25 우장산점,서울특별시 강서구 우현로 17,4.00,37.5481875,126.84377955899093
씨유 화곡신월초교점,서울특별시 강서구 강서로31길 52,6.60,37.5406232,126.8411013
세븐일레븐 마곡르보아점,서울특별시 강서구 마곡중앙5로 87,3.00,37.5671609,126.8220048
미니스톱 화곡명월점,서울특별시 강서구 곰달래로 104,4.00,37.5312794,126.8548343
이마트24 뉴가양8단지점,서울특별시 강서구 허준로 176,2.00,37.5652368,126.8535763
씨유 마곡엠코점,서울특별시 강서구 강서로 471,4.00,37.5596089,126.838587
씨유 마곡13단지점,서울특별시 강서구 마곡중앙1로 71,3.30,37.5586161,126.8193218
씨유 수명산7단지점,서울특별시 강서구 수명로2가길 22,3.30,37.54785955,126.82243748195583
지에스25(GS25) 강서부영점,서울특별시 강서구 강서로56나길 110,6.60,37.564216200000004,126.84365649180495
씨유 우장산힐스테이트점,서울특별시 강서구 공항대로38길 80,3.30,37.5578472,126.8388087
씨유 등촌에이스에이존,서울특별시 강서구 화곡로68길 36,3.30,37.55858284999999,126.85611408689022
GS25 강서공항점,서울특별시 강서구 송정로 37,6.60,37.5580738,126.8111162
씨유 화곡2호점,서울특별시 강서구 월정로 102,3.30,37.53301,126.8365271
이마트24 등촌5단지점,서울특별시 강서구 공항대로39길 74,9.90,37.5613245,126.8445763
