,정류소명,경도,위도
0,염창역.서울도시가스,126.8758813624,37.5470974954
1,염창역.서울도시가스,126.875005296,37.5469638223
2,등촌역.강서보건소,126.8686519482,37.5490054028
3,등촌역.강서보건소,126.8675998318,37.5494106214
4,등촌중학교.백석초등학교,126.8615536765,37.5526278025
5,등촌중학교.백석초등학교,126.8605244195,37.5528653812
6,강서구청사거리.서울디지털대학교,126.8557818766,37.5547564863
7,강서구청사거리.서울디지털대학교,126.8540843129,37.5552355847
8,KBS스포츠월드,126.8504630663,37.5566007161
9,KBS스포츠월드,126.84923323,37.5569118315
10,한국가스기술공사,126.8454938402,37.5578531453
11,한국가스기술공사,126.843257,37.557872
12,발산역,126.8391584264,37.5584907687
13,송정역,126.8095961346,37.5613708422
14,송정역,126.811072238,37.561349785
15,"공항중학교.마곡엠밸리9,10단지",126.8158007588,37.5607246898
16,발산역,126.8376109437,37.5585733533
17,마곡역,126.827513,37.559695
18,마곡역,126.826071948,37.5597895559
19,"공항중학교.마곡엠밸리9,10단지",126.817152,37.560738
20,마곡동로사거리,126.834585405,37.5590346393
21,마곡동로사거리,126.8318218773,37.5592024204
22,강서세무서,126.821294273,37.5602555146
23,강서세무서,126.8227020795,37.5602011559
24,화원중학교,126.8409157976,37.5377940901
25,서울식물원.식물문화센터,126.8349619166,37.5683883474
26,백석초등학교.한국임업진흥원,126.8616542673,37.5527036123
27,등촌중학교.한국임업진흥원,126.8601040507,37.5529521864
28,KC대학교.강서LG베스트샵,126.8559083753,37.5548954092
29,하이웨이주유소.KC대학교,126.8558775567,37.5544421215
30,서울식물원.숲문화학교,126.8340419189,37.5663239835
31,LG사이언스파크,126.833247985,37.5617826066
32,등촌주공5단지아파트,126.843905152,37.5581646361
33,발산역4번출구,126.8392815106,37.5586270014
34,발산역5번출구,126.8394838811,37.5582109717
35,공항초등학교,126.817211018,37.5607764416
36,공항중학교,126.814653,37.56112
37,송정역,126.810322176,37.5611863858
38,송정역,126.8090169265,37.5616789813
39,공항시장,126.8089271716,37.5622519305
40,공항시장,126.8090745347,37.5626135068
41,공항시장역3번출구,126.8109493938,37.5638248877
42,공항시장역.공항성산교회,126.8113840134,37.5647464984
43,방화주유소,126.812578,37.566218
44,방화2동청성아파트앞,126.8116149845,37.5669761672
45,방신전통시장,126.8128856536,37.5699292608
46,방화2동우촌연립,126.8114748571,37.5700234331
47,국민은행방화동지점,126.8115903308,37.5727187792
48,국민은행방화동지점,126.8113414217,37.5726571076
49,한서고등학교.보람아파트,126.811733,37.57483
50,한서고등학교.보람아파트,126.8114186211,37.574816243
51,방화역2번출구,126.812627,37.576742
52,방화역,126.8123587027,37.5769118737
53,방화3동주민센터.국립국어원,126.813513,37.57913
54,방화도시7단지.국립국어원,126.8132330383,37.5790596554
55,가양3동도시개발8단지아파트.가양역,126.8558158083,37.5618174928
56,가양역.마포중고등학교,126.8542038866,37.5589275113
57,가양역.마포중고등학교,126.8541936005,37.5595591647
58,경복비즈니스고등학교,126.8534482519,37.5575280794
59,경복비즈니스고등학교,126.8531220051,37.557662838
60,강서구청.한국건강관리협회,126.8505841855,37.552627948
61,강서구청.한국건강관리협회,126.8501698616,37.5526688733
62,우장초등학교,126.8481814428,37.5503532252
63,우장초등학교,126.8477782735,37.549366909
64,한국폴리텍1.서울강서대학교,126.8452748106,37.5460872756
65,한국폴리텍1.서울강서대학교,126.8447320961,37.5458432676
66,화곡본동시장,126.8426281976,37.5431786479
67,화곡본동시장,126.8432514003,37.5433434761
68,화곡역,126.838854189,37.5410307536
69,화곡역,126.8371072799,37.5408778739
70,강서구청소년상담복지센터,126.8354477303,37.5401114441
71,화곡푸르지오,126.8344789776,37.5401506396
72,외발산신광명마을,126.8215259396,37.5460645834
73,외발산신광명마을,126.821132,37.545958
74,강서면허시험장.메이필드호텔,126.8194959796,37.5496838966
75,강서면허시험장.메이필드호텔,126.8203782658,37.5475298249
76,강서농수산물도매시장,126.81998,37.55187
77,영인운수.차고지,126.8179353333,37.5453351183
78,대한항공.메이필드호텔,126.8168622636,37.5495108241
79,공항동송정중학교,126.815117,37.552778
80,공항동송정중학교,126.815368,37.55313
81,국립항공박물관.공항동천주교회,126.811917,37.555638
82,국립항공박물관.공항동천주교회,126.811943,37.555152
83,공항동지하도입구,126.808185,37.559087
84,영인운수.차고지,126.8182035541,37.5453223584
85,방화중학교,126.8059168195,37.564621397
86,방화2동주민센터,126.8056214646,37.5671989332
87,방화동도시개발11단지,126.804202,37.570852
88,개화119안전센터,126.8026,37.575195
89,개화119안전센터,126.802225,37.575128
90,개화역1번출구.개화검문소,126.800345,37.578455
91,개화역1번출구.개화검문소,126.7997884498,37.5784942626
92,상사마을,126.7985641294,37.5824925499
93,상사마을,126.798335,37.58182
94,영일고등학교.강서도서관,126.8633553696,37.5489885793
95,아이파크아파트.백석중학교.실로암안과,126.8621412863,37.5451448999
96,등촌2동주민센터.등촌동대림아파트,126.8629698908,37.5419424703
97,대일고교.임광아파트.배광교회,126.8635679255,37.539791346
98,용문사.시립화곡청소년센터,126.8633458107,37.5370972069
99,목동사거리,126.8635117084,37.5327627286
100,목동사거리,126.863608811,37.5316337661
101,화곡동남부시장,126.858853902,37.5318363326
102,성석교회,126.8575906388,37.5315122234
103,서울신정초등학교,126.8530869567,37.5311156308
104,서울신정초등학교,126.8524357368,37.5308544018
105,화곡8동주민센터,126.8498334324,37.5308051658
106,화곡8동주민센터.까치산시장,126.8488200647,37.5305885107
107,KT강서지사,126.8475167279,37.5299722869
108,KT강서지사,126.8478810975,37.5299538337
109,화곡동유림아파트,126.844302,37.530479
110,화곡동유림아파트,126.8442551579,37.5303014369
111,황외과앞,126.8378394153,37.5309632183
112,까치산역2번출구,126.8468455507,37.5317706703
113,까치산역4번출구,126.8461927843,37.5322386315
114,화곡동백구사,126.8427421149,37.5325837128
115,화곡동백구사,126.8407081988,37.5323340865
116,화곡대림아파트,126.8387569759,37.533098272
117,화곡동대림아파트.화곡중앙시장,126.8383894565,37.5340439211
118,가로공원.나누리병원,126.8371920237,37.5367734994
119,가로공원.나누리병원,126.8368737328,37.5374398713
120,가로공원.나누리병원,126.8364507303,37.5368265409
121,가로공원.나누리병원,126.8362926723,37.5371786505
122,다운어린이공원.치유하는교회,126.8437952234,37.5325644788
123,화원중학교,126.840433,37.537977
124,신월초등학교,126.8389691102,37.5386348969
125,신월초등학교,126.8394911995,37.5389654088
126,화곡역.현대주유소,126.8409451288,37.5406479194
127,화곡역,126.8411221475,37.540952728
128,화곡역1번출구,126.8396791886,37.5425979802
129,화곡역8번출구,126.8388885788,37.5429294084
130,대원시장,126.8382263704,37.5440629818
131,대원시장,126.8373132333,37.5445248902
132,화곡중고등학교,126.8361316002,37.5471796836
133,화곡중고등학교,126.8364541195,37.5471900427
134,우장산역,126.8365028309,37.549241001
135,우장산역,126.8361292528,37.5498027659
136,명덕고등학교.서울스타병원,126.8367014782,37.5531204851
137,명덕고등학교.서울스타병원,126.8363717464,37.5532912365
138,발산역.우장산힐스테이트,126.8376254994,37.5560385988
139,발산역.우장산힐스테이트,126.8374835698,37.5567655856
140,발산역2번출구,126.838558,37.56009
141,발산역3번출구,126.8389703128,37.5601701491
142,서울호서전문학교.등촌주공3단지아파트,126.8394809325,37.5627492675
143,서울호서전문학교.등촌주공3단지아파트,126.839755,37.562662
144,서울강서우체국,126.8404734698,37.5648933561
145,서울강서우체국,126.8400518125,37.5645673439
146,양천향교역.휴먼빌아파트,126.841569795,37.5689791361
147,양천향교입구,126.8414494561,37.5702080629
148,가양한강타운아파트,126.8432785021,37.5703925254
149,가양한강타운아파트,126.8438103417,37.5705058666
150,가양2단지성지아파트.동양고등학교,126.8464070753,37.5695279851
151,가양2단지성지아파트.동양고등학교,126.8476422533,37.5694809267
152,한보구암마을아파트,126.8487304549,37.5687785736
153,가양동천주교영등포공업고등학교,126.8496502756,37.5684832895
154,서울서진학교.우체국앞.허준박물관,126.8511694161,37.5668109862
155,탑산초등학교.허준박물관,126.8517605558,37.5666981923
156,가양도시개발4단지아파트,126.8531103371,37.5653356263
157,대림경동아파트,126.8532162499,37.5655880638
158,가양도시개발5단지아파트,126.85513,37.564242
159,가양2동강변아파트,126.8556380616,37.5641799397
160,가양3동도시개발6단지아파트,126.8579043717,37.5629463904
161,가양초등학교,126.85982,37.561717
162,강서구청별관,126.8594069581,37.5609658228
163,가양3동주민센터,126.8607529864,37.5614125205
164,가양3동도시개발9단지아파트,126.863307,37.559812
165,가양도시개발9단지.세현고등학교,126.8638406107,37.5597184628
166,염창동아3차아파트.나이아가라호텔,126.877626568,37.5491222747
167,염창동아3차아파트,126.8776893136,37.5488168686
168,염창동새마을금고,126.8733240118,37.5502350947
169,염창동새마을금고,126.8727944748,37.5501570313
170,염창동한마음.관음삼성아파트,126.8697189477,37.5530470916
171,염창동관음삼성아파트,126.8693581039,37.5529295507
172,태영.삼성한사랑아파트,126.8654574304,37.5550652684
173,금호.한솔아파트,126.8654850398,37.5554473635
174,블루나인비지니스센터.이마트,126.8637439355,37.5562428349
175,블루나인비지니스센터.이마트,126.8639188939,37.5565070571
176,이마트.강서소방서,126.8617662095,37.5576633624
177,강서소방서.이마트.증미역,126.8617194697,37.557230783
178,가양역.현대프린스텔,126.8563497598,37.5602196054
179,가양역.현대아파트,126.856602,37.560458
180,가양역.우성아파트,126.8539737105,37.5614520887
181,가양역.우성아파트,126.8532385733,37.5622483282
182,SBS공개홀,126.85080021,37.5634890953
183,SBS공개홀,126.8498490115,37.563659097
184,가양4.5단지상가앞,126.8526273202,37.5640845262
185,서울서진학교,126.8501204105,37.5660563465
186,등촌동대림아파트,126.8483940429,37.5644051441
187,강서한강자이아파트,126.8478709578,37.5650145106
188,가양동CJ주식회사,126.8449188039,37.5666083055
189,가양동CJ주식회사,126.843751077,37.566902324
190,양천초등학교.겸재정선미술관,126.8403424556,37.5690684929
191,양천초등학교.겸재정선미술관,126.8400360371,37.5688959697
192,겸재정선미술관.서울식물원,126.8381629869,37.5699094786
193,겸재정선미술관.서울식물원,126.8375146708,37.57058838
194,마곡실내배드민턴장,126.8300504998,37.5725390362
195,마곡실내배드민턴장,126.8319558638,37.5726747685
196,서남물재생센터,126.827910501,37.5729917324
197,서남물재생센터,126.8272995937,37.5726869369
198,서남환경공원.마곡청구아파트,126.8233293081,37.5732822116
199,서남환경공원.마곡청구아파트,126.822331957,37.573109762
200,방화동도시개발2단지아파트,126.8185240847,37.573249517
201,방화동도시개발2단지아파트,126.8190361849,37.5734774312
202,가양역10번출구,126.853055937,37.5619105072
203,방화동동부센트레빌아파트,126.8138643735,37.5733225126
204,방화동동부센트레빌아파트,126.814217,37.573528
205,방화사거리,126.8104923847,37.5730855678
206,방화사거리,126.809892,37.573287
207,개화산역,126.8060833577,37.572428722
208,개화산역,126.8052934018,37.5727710603
209,등촌3동천주교회,126.8456831887,37.5598916649
210,등촌3동천주교회,126.8460350791,37.5599579041
211,등촌3동5단지아파트.등촌고등학교,126.84519,37.561745
212,등촌3동5단지아파트.등촌고등학교,126.8455808289,37.5617730123
213,등촌3동주공4단지아파트,126.8430371521,37.5624040272
214,등촌동부영아파트,126.8431057704,37.5626095674
215,등촌3동주공10단지아파트,126.8474153204,37.5619664289
216,등촌3동대림아파트,126.8472923418,37.5623231025
217,마곡13단지힐스테이트아파트,126.8178706273,37.5567444402
218,다솔마을.강서농수산물도매시장,126.8198769197,37.5548179682
219,강서공업고등학교,126.8165203605,37.5756172414
220,방화동도시개발1.2단지아파트,126.8169913943,37.5751313839
221,서울항공비즈니스고등학교,126.8168322544,37.5695169119
222,서울항공비즈니스고등학교,126.8163793241,37.5689651724
223,공항중학교,126.8162550447,37.5634491761
224,공항중학교.마곡엠밸리9단지,126.81676,37.562458
225,양천향교역,126.8407487895,37.5670001354
226,방신전통시장,126.8126738174,37.5699847925
227,방화주유소,126.8125292434,37.5666910754
228,제과점앞,126.809804527,37.5604349434
229,공항동천주교회,126.811612,37.557387
230,강서한방병원,126.8390315329,37.5301259278
231,강서한방병원,126.8393407089,37.5299929864
232,강서한강자이아파트,126.8500718716,37.5663646057
233,강서구청별관,126.859807,37.561162
234,양천향교역,126.8408631191,37.5675112089
235,등촌주공1.2단지,126.8432438786,37.5658464733
236,등촌2단지부영아파트,126.8425802335,37.5638316499
237,등촌3.4단지,126.8417742982,37.5616751601
238,발산역3번출구,126.8391468181,37.5596783931
239,우장산동주민센터,126.8416541729,37.5478333029
240,문성유치원,126.844389496,37.5467844606
241,우장산투웨니퍼스트오피스텔,126.845917756,37.5471216719
242,가양7단지상가,126.861713,37.560708
243,등촌주공9단지,126.850602,37.561643
244,강서구민올림픽체육센터,126.850182,37.559912
245,등촌주공6단지,126.848477,37.560553
246,등현초등학교,126.846958,37.561208
247,가양7단지상가앞,126.8619155436,37.5607705057
248,우장산휴먼빌아파트,126.8434782256,37.5474383521
249,우장산동주민센터,126.8415089067,37.5480241401
250,양서1단지우장산아이파크이편한세상,126.8369118066,37.548013375
251,우장산파크빌,126.8451717474,37.5466719509
252,강서힐스테이트아파트,126.836963084,37.547853051
253,등촌주공6단지앞,126.848447,37.560355
254,강서구민올림픽체육센터,126.850322,37.559795
255,등촌9단지SBS공개홀,126.850932,37.561875
256,가양4.5단지상가앞,126.852823,37.563943
257,삼정그린코아아파트,126.8117011886,37.5715960686
258,강서농협,126.812847,37.567943
259,강서농협,126.812767,37.568388
260,서울방화초등학교,126.805304,37.568165
261,공항동주민센터,126.810557,37.55883
262,천주교성당,126.8123522209,37.5560299741
263,마곡나루역4번출구.서울식물원,126.8278114785,37.5650522841
264,마곡나루역5번출구.서울식물원,126.8274942732,37.5650503991
265,마곡역교차로,126.8284358686,37.5593675269
266,이대서울병원,126.8345591631,37.5587445659
267,김포공항국내선,126.8041241867,37.5588334267
268,김포공항국내선,126.8047524427,37.5583803167
269,김포공항국제선,126.801112,37.56531
270,김포공항국제선,126.8010312835,37.5649980309
271,발산역7번출구,126.837825234,37.5578843118
272,신방화역5번출구,126.8175575178,37.5673963434
273,마곡엠밸리6.7단지.마곡중학교,126.8212535617,37.5670855615
274,마곡나루역,126.8259403289,37.5667800574
275,마곡역,126.8268822544,37.5612219957
276,마곡역,126.827173,37.561329
277,마곡나루역1번출구.웰튼병원,126.8265562889,37.5669558738
278,마곡동로사거리,126.8314960803,37.5594674923
279,마곡엠밸리11.12단지,126.8214569455,37.5601213973
280,마곡13단지힐스테이트후문,126.8185665339,37.5565548603
281,공진초등학교,126.8216428956,37.5584322785
282,송정역,126.8122234956,37.5613200833
283,외발산동기점,126.8213321956,37.5452091516
284,한국공항공사,126.798872,37.562433
285,한국공항공사,126.798863,37.56242
286,개화동상사마을종점,126.80181,37.588697
287,마곡수명산파크7단지,126.8232307658,37.5492191755
288,마곡수명산파크5단지6단지,126.825449415,37.5514716063
289,마곡수명산파크2단지,126.8264227097,37.5549071083
290,마곡수명산파크2단지,126.826058,37.554787
291,마곡수명산파크3단지4단지,126.8252225589,37.55168483
292,마곡수명산파크7단지,126.822762,37.549322
293,마곡역6번출구,126.825491,37.559571
294,마곡역,126.8243287914,37.5602184256
295,화곡2동주민센터,126.8552226927,37.5313768831
296,화곡2동주민센터,126.8547625855,37.5311663625
297,마곡엠밸리14단지아파트,126.826412,37.557467
298,마곡엠밸리15단지아파트,126.8267496101,37.5574387588
299,발산역9번출구,126.8366889695,37.5588523216
300,공항동주민센터,126.810619,37.558964
301,신방화사거리,126.816922,37.572868
302,신방화사거리,126.8164460164,37.5728630927
303,방화2동우촌연립,126.8117126614,37.5701349
304,개화역광역환승센터,126.797811,37.57845
305,개화역광역환승센터,126.797978,37.57822
306,방화2동청성아파트,126.8118933674,37.5665639113
