,상호명,지점명,지번주소,도로명주소,경도,위도,단차/계단,확인불가
0,CU,강서태양점,서울특별시 강서구 화곡동 161-2,서울특별시 강서구 강서로18길 146,126.853607,37.53512526,1,0
1,세븐일레븐,화곡수명점,서울특별시 강서구 화곡동 1068,서울특별시 강서구 강서로33길 103,126.8342201,37.54052187,1,0
2,세븐일레븐,강서내발산길점,서울특별시 강서구 내발산동 716-24,서울특별시 강서구 강서로45라길 35,126.834082,37.54938668,0,0
3,CU,수명파크점,서울특별시 강서구 내발산동 751,서울특별시 강서구 수명로1길 110,126.824639,37.55185198,0,1
4,CU,마곡아르디에점,서울특별시 강서구 마곡동 784-13,서울특별시 강서구 강서로 423,126.8393406,37.56349459,0,1
5,GS25,등촌스타점,서울특별시 강서구 등촌동 512-7,서울특별시 강서구 등촌로39길 6,126.8620021,37.54557739,0,1
6,CU,우장산역점,서울특별시 강서구 내발산동 723-9,서울특별시 강서구 강서로 251,126.836003,37.54811715,1,0
7,CU,방화진흥점,서울특별시 강서구 방화동 585-4,서울특별시 강서구 초원로 30,126.8084314,37.56757466,0,2
8,세븐일레븐,화곡우장산숲점,서울특별시 강서구 화곡동 1059-28,서울특별시 강서구 화곡로31길 22,126.8421737,37.54425833,1,0
9,GS25,염창사랑점,서울특별시 강서구 염창동 293,서울특별시 강서구 양천로73길 80,126.8741386,37.55424457,1,0
10,CU,등촌두산점,서울특별시 강서구 등촌동 631,서울특별시 강서구 양천로 564,126.8615549,37.55712434,0,0
11,세븐일레븐,방화점,서울특별시 강서구 방화동 830,서울특별시 강서구 금낭화로 146,126.813289,37.57818364,0,0
12,CU,마곡푸르지오점,서울특별시 강서구 마곡동 773-1,서울특별시 강서구 마곡중앙6로 10,126.8281723,37.56037482,0,1
13,CU,방화또오기점,서울특별시 강서구 방화동 608-140,서울특별시 강서구 초원로16길 24,126.8150485,37.56645191,1,0
14,CU,염창태진점,서울특별시 강서구 염창동 264-13,서울특별시 강서구 양천로 698,126.873299,37.54987555,1,0
15,세븐일레븐,화곡곰달래지점,서울특별시 강서구 화곡동 918-21,서울특별시 강서구 곰달래로 104,126.844313,37.53029522,0,0
16,미니스톱,가양대교점,서울특별시 강서구 등촌동 78-7,서울특별시 강서구 양천로 492,126.854548,37.56088596,1,0
17,세븐일레븐,강서등촌점,서울특별시 강서구 등촌동 696-1,서울특별시 강서구 공항대로41길 43,126.8455197,37.55989699,0,2
18,GS25,마곡파크뷰점,서울특별시 강서구 마곡동 795-5,서울특별시 강서구 마곡중앙6로 85,126.8368558,37.56023543,0,0
19,세븐일레븐,등촌역점,서울특별시 강서구 등촌동 507-1,서울특별시 강서구 등촌로 229-1,126.8634584,37.5502768,0,0
20,CU,수명산7단지점,서울특별시 강서구 내발산동 756,서울특별시 강서구 수명로2가길 22,126.8218768,37.5475896,0,1
21,CU,나눔방화점,서울특별시 강서구 방화동 796,서울특별시 강서구 방화대로37길 15,126.8159877,37.57004743,0,0
22,CU,공항단지점,서울특별시 강서구 공항동 1359-9,서울특별시 강서구 방화대로6바길 4,126.8191162,37.55472522,0,0
23,세븐일레븐,마곡럭스점,서울특별시 강서구 마곡동 758-1,서울특별시 강서구 마곡서로 168,126.825525,37.56895334,0,0
24,GS25,강서IT밸리점,서울특별시 강서구 등촌동 638-3,서울특별시 강서구 화곡로68길 82,126.8582891,37.5575253,0,2
25,세븐일레븐,공항시장점,서울특별시 강서구 방화동 612-87,서울특별시 강서구 방화동로5길 24,126.8099734,37.56457177,0,2
26,GS25,화곡풀향기점,서울특별시 강서구 화곡동 1032-14,서울특별시 강서구 강서로35길 8,126.8384028,37.54296885,0,0
27,GS25,방화대림점,서울특별시 강서구 방화동 874,서울특별시 강서구 양천로6길 57,126.808015,37.56955272,1,0
28,CU,화곡에스점,서울특별시 강서구 화곡동 929-3,서울특별시 강서구 강서로5나길 117,126.8416197,37.52813337,1,0
29,CU,화곡이슬점,서울특별시 강서구 화곡동 898-7,서울특별시 강서구 곰달래로24길 19,126.8472176,37.52975595,0,2
30,세븐일레븐,강서등촌로점,서울특별시 강서구 등촌동 366-137,서울특별시 강서구 등촌로51길 47,126.8605885,37.54923097,0,3
31,CU,화곡PMK점,서울특별시 강서구 화곡동 425-13,서울특별시 강서구 곰달래로 77,126.8412799,37.5303556,1,0
32,GS25,강서부영점,서울특별시 강서구 등촌동 691-3,서울특별시 강서구 강서로56나길 110,126.8428267,37.56350178,0,2
33,이마트24,발산현대점,서울특별시 강서구 외발산동 216-18,서울특별시 강서구 남부순환로19길 81,126.824273,37.54705485,0,0
34,CU,화곡대원점,서울특별시 강서구 화곡동 1036-35,서울특별시 강서구 화곡로21길 43,126.8364262,37.54273314,0,0
35,GS25,마곡일성점,서울특별시 강서구 마곡동 758-2,서울특별시 강서구 마곡중앙로 161-22,126.8257454,37.56861315,1,0
36,세븐일레븐,염창점,서울특별시 강서구 염창동 244-35,서울특별시 강서구 양천로69길 11,126.8703756,37.55310936,0,0
37,GS25,강서사랑점,서울특별시 강서구 화곡동 1117,서울특별시 강서구 화곡로58길 8,126.8511845,37.55289716,0,0
38,세븐일레븐,화곡중앙점,서울특별시 강서구 화곡동 1075-49,서울특별시 강서구 강서로31길 10,126.8405713,37.54031409,0,0
39,CU,마곡사이언스타워점,서울특별시 강서구 마곡동 796-3,서울특별시 강서구 마곡동로 62,126.8338743,37.5605394,1,0
40,GS25,화곡풍년점,서울특별시 강서구 화곡동 357-19,서울특별시 강서구 곰달래로 61,126.8395846,37.53023984,0,0
41,GS25,방화상춘점,서울특별시 강서구 방화동 813-3,서울특별시 강서구 금낭화로19길 26,126.8106055,37.57606625,0,3
42,세븐일레븐,강서공항중앙점,서울특별시 강서구 공항동 723,서울특별시 강서구 송정로 10,126.8123604,37.55609911,1,0
43,CU,SK가양주유소점,서울특별시 강서구 가양동 151-1,서울특별시 강서구 강서로 498,126.8419606,37.56972842,1,0
44,세븐일레븐,개화산역점,서울특별시 강서구 방화동 534-9,서울특별시 강서구 양천로 34,126.8076626,37.57248651,0,1
45,GS25,공항제일점,서울특별시 강서구 공항동 654,서울특별시 강서구 송정로4길 46,126.8134905,37.55834502,1,3
46,GS25,화곡행복점,서울특별시 강서구 화곡동 504-87,서울특별시 강서구 등촌로13길 90,126.8593687,37.53719037,0,2
47,CU,발산진흥점,서울특별시 강서구 내발산동 687-1,서울특별시 강서구 강서로47길 67,126.8323865,37.55288395,1,0
48,GS25,마곡시티점,서울특별시 강서구 마곡동 758-3,서울특별시 강서구 마곡중앙5로1길 25,126.8261206,37.56922958,0,3
49,세븐일레븐,가양프라자점,서울특별시 강서구 가양동 1488,서울특별시 강서구 허준로 198,126.8602462,37.56130152,1,0
50,미니스톱,까치산점,서울특별시 강서구 화곡동 902-10,서울특별시 강서구 강서로7길 19,126.8466787,37.52948939,0,0
51,세븐일레븐,강서등마루점,서울특별시 강서구 등촌동 643-10,서울특별시 강서구 화곡로66길 122,126.8597237,37.55548481,1,0
52,GS25,공항화물청사점,서울특별시 강서구 공항동 1373,서울특별시 강서구 하늘길 111,126.8033425,37.55877421,1,0
53,CU,방화오피스2호점,서울특별시 강서구 방화동 612-275,서울특별시 강서구 개화동로29길 14,126.8076154,37.56337664,1,0
54,CU,소나무공원점,서울특별시 강서구 화곡동 26-8,서울특별시 강서구 까치산로15길 17,126.8472467,37.54697503,1,0
55,CU,강서화곡점,서울특별시 강서구 화곡동 24-80,서울특별시 강서구 화곡로42길 15,126.8464163,37.54652541,1,0
56,세븐일레븐,등촌현대점,서울특별시 강서구 등촌동 647-83,서울특별시 강서구 공항대로61길 13,126.8653725,37.55167379,0,0
57,CU,염창동아점,서울특별시 강서구 염창동 258-1,서울특별시 강서구 양천로 731,126.8773789,37.55023878,1,0
58,CU,발산수명점,서울특별시 강서구 내발산동 754-2,서울특별시 강서구 수명로 31,126.8231327,37.5497646,1,0
59,GS25,화곡으뜸점,서울특별시 강서구 화곡동 1098-9,서울특별시 강서구 우장산로 125,126.8499567,37.55325463,0,2
60,GS25,화곡초록마을점,서울특별시 강서구 화곡동 59-12,서울특별시 강서구 초록마을로6길 6,126.8471355,37.54244174,1,0
61,GS25,화곡소담점,서울특별시 강서구 화곡동 24-36,서울특별시 강서구 화곡로44길 12,126.8471647,37.54789328,1,0
62,CU,908증미역점,서울특별시 강서구 등촌동 666-40,서울특별시 강서구 양천로 560,126.8612291,37.55770687,1,0
63,GS25,마곡14단지점,서울특별시 강서구 마곡동 750,서울특별시 강서구 마곡중앙로 33,126.8240665,37.55803636,0,1
64,CU,마곡롯데캐슬점,서울특별시 강서구 마곡동 760-2,서울특별시 강서구 마곡중앙로 161-1,126.8274326,37.56785503,0,1
65,GS25,화곡달빛점,서울특별시 강서구 화곡동 928-35,서울특별시 강서구 곰달래로16길 29,126.8403657,37.52875179,0,2
66,GS25,방화5단지점,서울특별시 강서구 방화동 814,서울특별시 강서구 금낭화로 287-19,126.8102657,37.57679266,1,0
67,GS25,화곡한나점,서울특별시 강서구 화곡동 906-1,서울특별시 강서구 강서로5나길 21,126.8471372,37.52836757,1,0
68,CU,906양천향교역점,서울특별시 강서구 가양동 159-3,서울특별시 강서구 양천로 341,126.8407985,37.56875291,1,0
69,CU,910염창역점,서울특별시 강서구 염창동 284-84,서울특별시 강서구 공항대로 631,126.8749823,37.54705333,0,2
70,GS25,마곡라마다점,서울특별시 강서구 마곡동 760-1,서울특별시 강서구 마곡중앙로 161-11,126.8267064,37.56796495,1,3
71,CU,송정공항점,서울특별시 강서구 공항동 34-50,서울특별시 강서구 공항대로8길 17,126.8123622,37.56026188,1,0
72,CU,마곡보타닉푸르지오2호점,서울특별시 강서구 마곡동 760,서울특별시 강서구 마곡중앙5로 6,126.8270032,37.56708489,0,2
73,GS25,발산아이파크점,서울특별시 강서구 마곡동 795-2,서울특별시 강서구 마곡중앙8로 90,126.8375752,37.56055788,0,0
74,CU,양천향교점,서울특별시 강서구 가양동 276-2,서울특별시 강서구 양천로49길 35,126.840482,37.57018244,0,1
75,CU,909등촌역점,서울특별시 강서구 등촌동 666-94,서울특별시 강서구 공항대로 529,126.8649283,37.55111088,0,1
76,CU,907가양역점,서울특별시 강서구 가양동 14-61,서울특별시 강서구 양천로 485,126.8543682,37.56154197,1,0
77,CU,901개화역점,서울특별시 강서구 개화동 493-2,서울특별시 강서구 개화동로8길 38,126.7980577,37.57915581,0,2
78,CU,904신방화역점,서울특별시 강서구 방화동 217-156,서울특별시 강서구 방화대로 301,126.816512,37.56767397,0,2
79,GS25,뉴마곡14단지점,서울특별시 강서구 마곡동 750,서울특별시 강서구 마곡중앙로 33,126.8240665,37.55803636,0,2
80,GS25,S9마곡나루역점,서울특별시 강서구 마곡동 760-3,서울특별시 강서구 마곡중앙5로 2,126.827506,37.56678354,0,2
81,GS25,마곡LG사이언스점,서울특별시 강서구 마곡동 770-1,서울특별시 강서구 마곡중앙10로 30,126.8310034,37.56390789,0,1
82,CU,염창월드점,서울특별시 강서구 염창동 272-12,서울특별시 강서구 공항대로59다길 122,126.8694261,37.55078461,0,1
83,세븐일레븐,마곡6단지점,서울특별시 강서구 마곡동 743,서울특별시 강서구 마곡서1로 100,126.8195019,37.56542431,0,1
84,CU,강서산업센터점,서울특별시 강서구 가양동 1498,서울특별시 강서구 양천로 401,126.8476262,37.56569318,0,0
85,미니스톱,강서등촌점,서울특별시 강서구 등촌동 632-9,서울특별시 강서구 양천로 606,126.8651834,37.55518601,0,0
86,GS25,송정가온점,서울특별시 강서구 공항동 22-85,서울특별시 강서구 공항대로7길 27,126.8128356,37.56252823,0,0
87,세븐일레븐,화곡하늘점,서울특별시 강서구 화곡동 42-48,서울특별시 강서구 까치산로18라길 6,126.8516381,37.54693672,0,2
88,CU,SK해바라기주유소점,서울특별시 강서구 화곡동 20-1,서울특별시 강서구 화곡로 273,126.8469511,37.54926978,1,0
89,GS25,명덕점,서울특별시 강서구 내발산동 681-17,서울특별시 강서구 강서로47길 36,126.8341514,37.55292842,0,0
90,세븐일레븐,강서화곡진주점,서울특별시 강서구 화곡동 856-1,서울특별시 강서구 곰달래로36길 17,126.8539068,37.53032564,0,2
91,CU,방화해피점,서울특별시 강서구 방화동 574-2,서울특별시 강서구 양천로24가길 23,126.8143402,37.57257179,1,3
92,CU,화곡와이즈점,서울특별시 강서구 화곡동 105-59,서울특별시 강서구 까치산로 20,126.8428804,37.54173335,1,0
93,CU,화곡봉제산점,서울특별시 강서구 화곡동 155-7,서울특별시 강서구 강서로18바길 22,126.8496895,37.53603325,1,0
94,CU,강서해링턴점,서울특별시 강서구 화곡동 1170,서울특별시 강서구 강서로 231,126.8357619,37.54615953,1,0
95,세븐일레븐,마곡이너매스점,서울특별시 강서구 마곡동 771-4,서울특별시 강서구 마곡중앙6로 21,126.8296028,37.5608215,1,0
96,미니스톱,개화산역점,서울특별시 강서구 방화동 557-7,서울특별시 강서구 양천로 50,126.8092531,37.57284496,0,0
97,CU,염창세계로점,서울특별시 강서구 염창동 292,서울특별시 강서구 양천로69길 58,126.8729463,37.55526037,0,2
98,GS25,가양테크노점,서울특별시 강서구 등촌동 628-7,서울특별시 강서구 화곡로68길 15,126.8553058,37.55944265,0,0
99,CU,강서한아름점,서울특별시 강서구 화곡동 504-141,서울특별시 강서구 등촌로13길 28,126.8617236,37.53560924,1,0
100,CU,외발산점,서울특별시 강서구 외발산동 379,서울특별시 강서구 방화대로 30,126.8170493,37.54300013,0,1
101,GS25,화곡푸르지오,서울특별시 강서구 화곡동 1091,서울특별시 강서구 화곡로13길 107,126.8322257,37.54723288,1,0
102,세븐일레븐,화곡신정초교점,서울특별시 강서구 화곡동 451-23,서울특별시 강서구 곰달래로31다길 8,126.8516991,37.53336772,1,3
103,세븐일레븐,화곡로점,서울특별시 강서구 화곡동 1114-21,서울특별시 강서구 화곡로60길 33,126.8531119,37.55341146,0,0
104,GS25,강서LG사이언스,서울특별시 강서구 마곡동 789,서울특별시 강서구 마곡중앙10로 70,126.8354575,37.56353744,1,0
105,GS25,S9개화역점,서울특별시 강서구 개화동 388-1,서울특별시 강서구 개화동로8길 38,126.7949576,37.5804397,1,0
106,GS25,염창행복점,서울특별시 강서구 염창동 262,서울특별시 강서구 공항대로81길 35,126.8761213,37.54883021,0,1
107,세븐일레븐,화곡원룸점,서울특별시 강서구 화곡동 914-36,서울특별시 강서구 강서로7길 59,126.8444313,37.52922414,0,1
108,미니스톱,서울신주점,서울특별시 강서구 화곡동 863-8,서울특별시 강서구 곰달래로31가길 80,126.8558899,37.53233616,0,0
109,GS25,S9염창역점,서울특별시 강서구 염창동 284-84,서울특별시 강서구 공항대로 631,126.8749823,37.54705333,1,0
110,GS25,S9공항시장역점,서울특별시 강서구 공항동 산20-2,서울특별시 강서구 방화동로 30,126.8104765,37.56354066,0,0
111,세븐일레븐,화곡보노점,서울특별시 강서구 화곡동 806-5,서울특별시 강서구 곰달래로57길 37,126.861638,37.53379733,0,1
112,세븐일레븐,류마타워점,서울특별시 강서구 마곡동 798-2,서울특별시 강서구 공항대로 164,126.8254952,37.55931203,0,1
113,CU,등촌능안점,서울특별시 강서구 등촌동 524-13,서울특별시 강서구 등촌로39길 30,126.8608531,37.54597178,0,2
114,세븐일레븐,강서화곡대로점,서울특별시 강서구 화곡동 400-13,서울특별시 강서구 강서로29길 27,126.8403515,37.53916762,0,2
115,GS25,염창E편한점,서울특별시 강서구 염창동 309,서울특별시 강서구 공항대로 583,126.8700717,37.54850216,0,0
116,GS25,등촌한올림점,서울특별시 강서구 등촌동 656,서울특별시 강서구 화곡로64길 2,126.853551,37.55725413,0,2
117,CU,NH서울타워점,서울특별시 강서구 등촌동 631-5,서울특별시 강서구 양천로 570,126.8618554,37.55671277,0,0
118,GS25,화곡그랜드점,서울특별시 강서구 화곡동 371-7,서울특별시 강서구 월정로32길 71,126.8390838,37.53627185,1,0
119,GS25,우장산점,서울특별시 강서구 화곡동 84-5,서울특별시 강서구 우현로 17,126.8434627,37.54725338,0,1
120,세븐일레븐,마곡W타워점,서울특별시 강서구 마곡동 798-16,서울특별시 강서구 마곡중앙1로 14,126.8251914,37.55848006,1,0
121,GS25,방화한숲점,서울특별시 강서구 방화동 132-12,서울특별시 강서구 방화대로50길 17,126.8179428,37.57669859,0,0
122,GS25,S9양천향교역점,서울특별시 강서구 가양동 159-3,서울특별시 강서구 양천로 341,126.8407985,37.56875291,0,1
123,CU,우장산힐스테이트점,서울특별시 강서구 내발산동 658,서울특별시 강서구 공항대로38길 80,126.8420339,37.55695251,1,0
124,GS25,등촌센트럴점,서울특별시 강서구 등촌동 633-24,서울특별시 강서구 공항대로59다길 39,126.865724,37.55311883,0,1
125,CU,등촌3단지점,서울특별시 강서구 등촌동 688,서울특별시 강서구 강서로56나길 37,126.8408043,37.56107618,1,0
126,세븐일레븐,강서염창점,서울특별시 강서구 염창동 250-1,서울특별시 강서구 양천로73가길 28,126.8736738,37.55053688,0,0
127,CU,강서웨스턴점,서울특별시 강서구 가양동 1461,서울특별시 강서구 허준로 47,126.8465254,37.57101653,1,0
128,미니스톱,강서우장산점,서울특별시 강서구 내발산동 674-3,서울특별시 강서구 강서로48길 47,126.8391039,37.55249066,1,0
129,GS25,방화초원로점,서울특별시 강서구 방화동 600-2,서울특별시 강서구 초원로 43,126.810192,37.56790778,1,0
130,세븐일레븐,마곡호서대기숙사점,서울특별시 강서구 마곡동 793-8,서울특별시 강서구 강서로 399,126.8386506,37.56128028,1,0
131,미니스톱,서울희망점,서울특별시 강서구 공항동 1356-10,서울특별시 강서구 방화대로6길 33,126.8186141,37.5549815,1,0
132,GS25,곰달래로,서울특별시 강서구 화곡동 872-24,서울특별시 강서구 곰달래로31길 16,126.8514653,37.53164447,0,0
133,GS25,마곡루체점,서울특별시 강서구 마곡동 797-12,서울특별시 강서구 마곡동로4길 23,126.8361861,37.55963415,1,3
134,GS25,화곡지연점,서울특별시 강서구 화곡동 56-451,서울특별시 강서구 초록마을로8길 82,126.8478771,37.53910613,1,0
135,세븐일레븐,화곡월정점,서울특별시 강서구 화곡동 352-5,서울특별시 강서구 월정로30길 102,126.8413007,37.53559082,0,1
136,세븐일레븐,마곡롯데연구소점,서울특별시 강서구 마곡동 756,서울특별시 강서구 마곡중앙로 201,126.8282326,37.57170136,0,0
137,CU,등촌오피스점,서울특별시 강서구 등촌동 633-17,서울특별시 강서구 양천로66길 21,126.8651549,37.55407747,1,3
138,GS25,발산사랑점,서울특별시 강서구 내발산동 670-50,서울특별시 강서구 우장산로2길 21,126.8376465,37.55378282,0,1
139,CU,염창로보점,서울특별시 강서구 염창동 280-1,서울특별시 강서구 공항대로71길 19,126.8721575,37.54826981,0,0
140,미니스톱,가양점,서울특별시 강서구 가양동 1480-8,서울특별시 강서구 양천로 461,126.852206,37.5630347,1,0
141,GS25,화곡행운점,서울특별시 강서구 화곡동 343-3,서울특별시 강서구 강서로 47-6,126.846028,37.53206901,0,0
142,GS25,염창세빛점,서울특별시 강서구 염창동 272-21,서울특별시 강서구 공항대로65길 51,126.8699199,37.55031179,1,0
143,GS25,화곡타운점,서울특별시 강서구 화곡동 398-4,서울특별시 강서구 강서로18라길 23,126.8478883,37.53543903,1,0
144,CU,화곡소비자점,서울특별시 강서구 화곡동 1056,서울특별시 강서구 화곡로31길 53,126.8404404,37.54438548,0,0
145,GS25,방화행복점,서울특별시 강서구 방화동 246-48,서울특별시 강서구 양천로24길 93,126.8154262,37.56905067,1,0
146,CU,마곡사이언스타,서울특별시 강서구 마곡동 774-9,서울특별시 강서구 마곡중앙6로 42,126.8318545,37.560141,1,0
147,CU,화곡천량점,서울특별시 강서구 화곡동 796-1,서울특별시 강서구 곰달래로 260,126.8617783,37.53201463,1,0
148,GS25,강서우림점,서울특별시 강서구 염창동 240-21,서울특별시 강서구 양천로 583,126.8643281,37.557106,0,0
149,GS25,마곡SH점,서울특별시 강서구 마곡동 774,서울특별시 강서구 공항대로 205,126.8304004,37.55975718,0,0
150,CU,방화행운점,서울특별시 강서구 방화동 448-42,서울특별시 강서구 방화대로45길 52,126.8136437,37.57437586,0,1
151,미니스톱,화곡사거리점,서울특별시 강서구 화곡동 989-1,서울특별시 강서구 화곡로53가길 10-5,126.847161,37.55107389,0,0
152,GS25,S9신방화역점,서울특별시 강서구 방화동 217-156,서울특별시 강서구 방화대로 301,126.816512,37.56767397,1,0
153,GS25,화곡한빛,서울특별시 강서구 화곡동 24-552,서울특별시 강서구 까치산로 71,126.8468009,37.54506048,0,2
154,GS25,강서로우장산점,서울특별시 강서구 내발산동 706-5,서울특별시 강서구 강서로46길 47,126.8390497,37.55087728,0,1
155,GS25,마곡LG정문점,서울특별시 강서구 마곡동 796-6,서울특별시 강서구 마곡중앙6로 65,126.8347025,37.56041242,0,2
156,CU,마곡미라벨점,서울특별시 강서구 마곡동 768-2,서울특별시 강서구 마곡서로 101,126.8235863,37.56266288,1,0
157,CU,뉴화곡우리마을,서울특별시 강서구 화곡동 926-5,서울특별시 강서구 강서로7길 107,126.8419142,37.52884808,0,2
158,CU,마곡11단지점,서울특별시 강서구 마곡동 746,서울특별시 강서구 공항대로 124,126.8208543,37.55933785,0,0
159,GS25,S9가양역점,서울특별시 강서구 가양동 14-61,서울특별시 강서구 양천로 485,126.8543682,37.56154197,0,0
160,세븐일레븐,화곡대원점,서울특별시 강서구 화곡동 1036-35,서울특별시 강서구 화곡로21길 43,126.8364487,37.54274238,1,0
161,GS25,등촌으뜸점,서울특별시 강서구 등촌동 636-45,서울특별시 강서구 화곡로66길 149,126.8611914,37.55497638,0,1
162,미니스톱,강서드림점,서울특별시 강서구 화곡동 1116-3,서울특별시 강서구 화곡로 330,126.851179,37.55325752,0,0
163,GS25,화곡성당점,서울특별시 강서구 화곡동 404-6,서울특별시 강서구 강서로 132,126.8425844,37.53891922,0,0
164,세븐일레븐,강서공항점,서울특별시 강서구 공항동 55-100,서울특별시 강서구 송정로4길 1-1,126.8109074,37.55850825,0,1
165,GS25,등촌캐빈점,서울특별시 강서구 등촌동 654-58,서울특별시 강서구 공항대로51길 17,126.8573968,37.55518299,0,1
166,CU,등촌아름점,서울특별시 강서구 등촌동 643-71,서울특별시 강서구 공항대로53길 23,126.859953,37.55454995,1,0
