,상호명,지점명,지번주소,도로명주소,경도,위도,단차/계단,확인불가
167,CU,마곡미라클점,서울특별시 강서구 방화동 186-3,서울특별시 강서구 방화대로34길 60,126.8198224,37.57022098,1,0
168,CU,마곡엠팰리체,서울특별시 강서구 마곡동 797-10,서울특별시 강서구 마곡동로4길 15,126.8352327,37.55980495,0,0
169,CU,등촌심미점,서울특별시 강서구 등촌동 634-13,서울특별시 강서구 공항대로59다길 1,126.8638569,37.55384873,0,0
170,세븐일레븐,롯데스카이파크점,서울특별시 강서구 방화동 886,서울특별시 강서구 하늘길 38,126.80076,37.56595623,0,0
171,GS25,화곡비젼점,서울특별시 강서구 화곡동 155-28,서울특별시 강서구 강서로18바길 2,126.8501321,37.53520861,1,0
172,GS25,마곡점,서울특별시 강서구 마곡동 747,서울특별시 강서구 마곡중앙1로 72,126.8198646,37.55894052,0,1
173,세븐일레븐,마곡행복점,서울특별시 강서구 마곡동 800-15,서울특별시 강서구 마곡중앙2로 35,126.8305187,37.55798332,1,0
174,세븐일레븐,마곡열린점,서울특별시 강서구 마곡동 801-1,서울특별시 강서구 공항대로 242,126.834314,37.55847137,0,1
175,세븐일레븐,화곡사랑,서울특별시 강서구 화곡동 102-182,서울특별시 강서구 초록마을로34길 85,126.8445811,37.53931721,0,1
176,GS25,화곡그린힐점,서울특별시 강서구 화곡동 56-80,서울특별시 강서구 초록마을로 89,126.8513767,37.54037465,0,0
177,CU,화곡곰달래점,서울특별시 강서구 화곡동 836-2,서울특별시 강서구 곰달래로49길 15,126.8576437,37.53233512,0,0
178,CU,공항대로점,서울특별시 강서구 염창동 272-9,서울특별시 강서구 공항대로 549,126.8670584,37.55020327,1,0
179,GS25,화곡베스트점,서울특별시 강서구 화곡동 936-15,서울특별시 강서구 월정로 112,126.8389679,37.52915253,1,0
180,CU,메이필드호텔점,서울특별시 강서구 외발산동 426,서울특별시 강서구 방화대로 94,126.8194957,37.54788118,0,1
181,세븐일레븐,등촌스타점,서울특별시 강서구 등촌동 639,서울특별시 강서구 화곡로 404,126.8544261,37.55923589,0,0
182,CU,방화메아리점,서울특별시 강서구 방화동 826-1,서울특별시 강서구 금낭화로24길 29-4,126.814972,37.5784258,0,1
183,세븐일레븐,화곡현대점,서울특별시 강서구 화곡동 410-17,서울특별시 강서구 초록마을로30길 7,126.8487882,37.53724988,1,0
184,세븐일레븐,마곡신사고점,서울특별시 강서구 마곡동 776-6,서울특별시 강서구 강서로 463,126.840442,37.56692032,1,0
185,세븐일레븐,화곡본동점,서울특별시 강서구 화곡동 55-88,서울특별시 강서구 초록마을로14길 37,126.8484719,37.54089599,0,0
186,미니스톱,강서IT점,서울특별시 강서구 화곡동 1096-29,서울특별시 강서구 공항대로44길 11,126.8508833,37.55556128,0,1
187,세븐일레븐,마곡홈앤쇼핑점,서울특별시 강서구 마곡동 746-1,서울특별시 강서구 공항대로 140,126.8231776,37.55914479,1,0
188,GS25,마곡12단지점,서울특별시 강서구 마곡동 746-1,서울특별시 강서구 공항대로 140,126.8231776,37.55914479,0,1
189,세븐일레븐,강서중앙점,서울특별시 강서구 화곡동 1112-1,서울특별시 강서구 공항대로46길 35,126.8524781,37.55415316,0,0
190,CU,강서스타점,서울특별시 강서구 등촌동 668,서울특별시 강서구 강서로54길 90,126.843616,37.55857186,1,0
191,CU,화곡삼성점,서울특별시 강서구 화곡동 854-1,서울특별시 강서구 국회대로7길 101,126.8552583,37.5292485,0,0
192,CU,화곡트윈캐슬점,서울특별시 강서구 화곡동 56-252,서울특별시 강서구 초록마을로 71,126.8506657,37.54172829,1,0
193,CU,마곡한솔점,서울특별시 강서구 마곡동 716,서울특별시 강서구 양천로30길 77,126.8230977,37.56926255,1,0
194,CU,가양휴먼빌점,서울특별시 강서구 가양동 1479-4,서울특별시 강서구 양천로57길 13,126.8520051,37.56359139,1,0
195,GS25,마곡에이스점,서울특별시 강서구 마곡동 772-8,서울특별시 강서구 마곡동로 61,126.8331376,37.5606042,1,0
196,CU,마곡더랜드점,서울특별시 강서구 마곡동 757,서울특별시 강서구 마곡중앙로 161-8,126.8272734,37.56861933,0,0
197,CU,발산오피스점,서울특별시 강서구 마곡동 795-1,서울특별시 강서구 마곡중앙8로 86,126.8369065,37.56061436,0,0
198,CU,마곡엠코점,서울특별시 강서구 마곡동 776-4,서울특별시 강서구 강서로 471,126.8405586,37.56743505,0,0
199,GS25,강서메르디앙점,서울특별시 강서구 내발산동 659-4,서울특별시 강서구 공항대로38길 106,126.8434156,37.55689398,0,1
200,미니스톱,강서하늘점,서울특별시 강서구 염창동 267-19,서울특별시 강서구 공항대로59다길 85,126.8679949,37.55187917,0,0
201,GS25,마곡플레이스점,서울특별시 강서구 마곡동 793-9,서울특별시 강서구 강서로 395,126.8385751,37.56103625,0,0
202,GS25,염창빌리지점,서울특별시 강서구 염창동 244-15,서울특별시 강서구 양천로69길 19,126.8707444,37.55341924,0,1
203,CU,화곡드림점,서울특별시 강서구 화곡동 409-91,서울특별시 강서구 초록마을로22길 82,126.8472067,37.53854996,0,1
204,CU,강서다온점,서울특별시 강서구 화곡동 1015,서울특별시 강서구 화곡로13길 111,126.8331902,37.54489072,0,0
205,CU,화곡미래점,서울특별시 강서구 화곡동 410-246,서울특별시 강서구 초록마을로 122,126.8506142,37.53770917,1,0
206,CU,방화오피스점,서울특별시 강서구 방화동 619-7,서울특별시 강서구 개화동로27가길 33,126.8075362,37.56266403,0,0
207,CU,마곡바이셀프점,서울특별시 강서구 마곡동 717,서울특별시 강서구 양천로47길 94,126.8371898,37.57442995,1,0
208,GS25,마곡힐스테이트점,서울특별시 강서구 마곡동 797-14,서울특별시 강서구 공항대로 269-15,126.8372279,37.55959936,0,0
209,세븐일레븐,강서KC대학교점,서울특별시 강서구 화곡동 953-1,서울특별시 강서구 까치산로24길 47,126.8535514,37.54836093,0,1
210,GS25,마곡유림점,서울특별시 강서구 마곡동 793,서울특별시 강서구 강서로 419,126.8391903,37.56297051,0,0
211,GS25,화곡세화점,서울특별시 강서구 화곡동 391-20,서울특별시 강서구 곰달래로25길 8,126.8491874,37.53115375,0,1
212,세븐일레븐,김포국제공항국제선청사점,서울특별시 강서구 방화동 886,서울특별시 강서구 하늘길 38,126.8029375,37.57135746,1,0
213,세븐일레븐,강서화곡다솜점,서울특별시 강서구 화곡동 924-5,서울특별시 강서구 강서로7길 102,126.842034,37.5291466,1,0
214,CU,개화점,서울특별시 강서구 방화동 819,서울특별시 강서구 금낭화로 167,126.8133584,37.58094148,0,1
215,GS25,화곡드림점,서울특별시 강서구 화곡동 1105-7,서울특별시 강서구 우장산로16길 19,126.8494733,37.55231284,0,1
216,GS25,가양2호점,서울특별시 강서구 가양동 1461,서울특별시 강서구 허준로 47,126.8465254,37.57101653,1,0
217,GS25,강서타운점,서울특별시 강서구 화곡동 1111-2,서울특별시 강서구 화곡로 346,126.8519974,37.55449989,1,0
218,CU,염창1호점,서울특별시 강서구 염창동 252-16,서울특별시 강서구 양천로 713,126.8752348,37.54983093,0,0
219,CU,화곡초록마을점,서울특별시 강서구 화곡동 333-2,서울특별시 강서구 강서로18다길 41,126.8466922,37.53595896,0,0
220,세븐일레븐,가양한림점,서울특별시 강서구 가양동 192-9,서울특별시 강서구 강서로 511,126.8413419,37.57093874,1,0
221,CU,가양미르웰점,서울특별시 강서구 가양동 118-1,서울특별시 강서구 강서로68길 35,126.8430443,37.56627008,0,0
222,GS25,등촌한마음점,서울특별시 강서구 등촌동 532-1,서울특별시 강서구 공항대로58길 32,126.8623927,37.55040169,0,1
223,GS25,방화가온점,서울특별시 강서구 방화동 485-3,서울특별시 강서구 양천로11길 14,126.8100282,37.57393401,0,1
224,GS25,S9증미역점,서울특별시 강서구 등촌동 666-40,서울특별시 강서구 양천로 560,126.8612291,37.55770687,1,0
225,GS25,강서으뜸점,서울특별시 강서구 화곡동 901-24,서울특별시 강서구 강서로7길 45,126.8452567,37.52925925,0,0
226,GS25,화곡월정점,서울특별시 강서구 화곡동 359-54,서울특별시 강서구 가로공원로76길 100,126.8388207,37.53280929,0,0
227,세븐일레븐,등촌두보점,서울특별시 강서구 등촌동 365-83,서울특별시 강서구 공항대로58나길 40-44,126.8576879,37.55094194,0,0
228,GS25,염창신동아점,서울특별시 강서구 염창동 289,서울특별시 강서구 양천로67길 32,126.8688411,37.55504992,1,0
229,CU,방화1호점,서울특별시 강서구 방화동 141,서울특별시 강서구 방화대로52길 40,126.8190108,37.57788962,0,0
230,GS25,강서한빛점,서울특별시 강서구 마곡동 326-19,서울특별시 강서구 양천로30길 32,126.8225817,37.57183435,0,0
231,GS25,마곡퍼스트점,서울특별시 강서구 마곡동 773,서울특별시 강서구 마곡중앙로 76,126.8274815,37.560404,1,0
232,GS25,LG사이언스파크점,서울특별시 강서구 마곡동 770,서울특별시 강서구 마곡중앙10로 10,126.8302176,37.56348564,1,0
233,GS25,수명산4단지점,서울특별시 강서구 내발산동 753,서울특별시 강서구 수명로1길 16,126.8225424,37.55203833,0,1
234,미니스톱,화곡엠파이어시티점,서울특별시 강서구 화곡동 1051-1,서울특별시 강서구 강서로 187,126.8387089,37.54293582,0,1
235,미니스톱,우리동네점,서울특별시 강서구 화곡동 926-1,서울특별시 강서구 강서로7길 89,126.842714,37.52907217,0,0
236,미니스톱,화곡명월점,서울특별시 강서구 화곡동 918-21,서울특별시 강서구 곰달래로 104,126.844313,37.53029522,0,0
237,CU,화곡신월초교점,서울특별시 강서구 화곡동 1081-39,서울특별시 강서구 강서로31길 52,126.838765,37.53931422,1,0
238,GS25,강서화곡로점,서울특별시 강서구 화곡동 1086-3,서울특별시 강서구 화곡로18길 31,126.836078,37.53892735,1,0
239,GS25,강서트레벨점,서울특별시 강서구 가양동 1479-8,서울특별시 강서구 양천로57길 9-19,126.8509172,37.56367091,1,0
240,GS25,염창현대점,서울특별시 강서구 염창동 113-9,서울특별시 강서구 양천로75길 50,126.875657,37.55186228,1,0
241,GS25,가양글로벌점,서울특별시 강서구 가양동 448-11,서울특별시 강서구 화곡로72길 62,126.8587998,37.56040454,1,0
242,미니스톱,강서공항점,서울특별시 강서구 공항동 55-156,서울특별시 강서구 공항대로8길 55,126.8124116,37.55857745,0,0
243,CU,항공지원센터2호점,서울특별시 강서구 과해동 676,서울특별시 강서구 하늘길 70,126.7963528,37.56198289,0,0
244,GS25,편의점,서울특별시 강서구 염창동 289,서울특별시 강서구 양천로67길 32,126.8688411,37.55504992,0,1
245,세븐일레븐,강서하이웨이주유소점,서울특별시 강서구 화곡동 1125,서울특별시 강서구 공항대로 432,126.8549396,37.55452846,0,1
246,GS25,강서까치산점,서울특별시 강서구 화곡동 341-31,서울특별시 강서구 강서로16길 22,126.8475208,37.53284947,0,0
247,세븐일레븐,발산W타워점,서울특별시 강서구 마곡동 800-4,서울특별시 강서구 공항대로 222,126.8321606,37.55865733,0,0
248,CU,화곡미라클점,서울특별시 강서구 화곡동 24-275,서울특별시 강서구 초록마을로5길 25,126.84742,37.54380508,1,0
249,CU,방화역점,서울특별시 강서구 방화동 829,서울특별시 강서구 금낭화로 287-50,126.8124598,37.5783555,0,0
250,세븐일레븐,강서화곡신정점,서울특별시 강서구 화곡동 826-13,서울특별시 강서구 등촌로13다길 32-18,126.858817,37.53552713,0,0
251,CU,강서붐호텔점,서울특별시 강서구 외발산동 282-2,서울특별시 강서구 남부순환로 188,126.8195859,37.54862093,1,0
252,미니스톱,비즈메트로점,서울특별시 강서구 가양동 449-4,서울특별시 강서구 양천로 551-17,126.8609249,37.55910054,1,0
253,이마트24,마곡골든점,서울특별시 강서구 마곡동 795-6,서울특별시 강서구 마곡중앙6로 89,126.8372758,37.56015848,1,0
254,CU,강서도레미점,서울특별시 강서구 방화동 883,서울특별시 강서구 양천로26길 38,126.8183534,37.57220657,0,0
255,미니스톱,등촌우리점,서울특별시 강서구 등촌동 518-24,서울특별시 강서구 등촌로39마길 24,126.8588436,37.54640289,0,0
256,CU,화곡행복점,서울특별시 강서구 화곡동 421-16,서울특별시 강서구 강서로17길 89,126.8407748,37.53228787,1,0
257,CU,등촌주공점,서울특별시 강서구 등촌동 705-6,서울특별시 강서구 공항대로43길 39,126.8496375,37.55929745,1,0
258,GS25,가양데시앙점,서울특별시 강서구 등촌동 10-14,서울특별시 강서구 양천로 418,126.8477436,37.56468517,1,0
259,CU,등촌원룸점,서울특별시 강서구 등촌동 636,서울특별시 강서구 화곡로68길 132,126.8607377,37.55653079,1,0
260,GS25,뉴내발산점,서울특별시 강서구 내발산동 718-20,서울특별시 강서구 강서로45나길 59,126.8354878,37.55068002,0,0
261,세븐일레븐,강서화곡예스점,서울특별시 강서구 화곡동 29-52,서울특별시 강서구 화곡로42길 35,126.8474658,37.54597702,1,0
262,GS25,방화샤르망점,서울특별시 강서구 방화동 830-3,서울특별시 강서구 방화대로47가길 7,126.812987,37.57652271,1,0
263,CU,화곡영광점,서울특별시 강서구 화곡동 469-30,서울특별시 강서구 곰달래로53길 121,126.8560107,37.53628388,1,0
264,CU,김포공항3호점,서울특별시 강서구 공항동 1373,서울특별시 강서구 하늘길 111,126.8033425,37.55877421,0,0
265,세븐일레븐,강서화곡한솔점,서울특별시 강서구 화곡동 976-9,서울특별시 강서구 까치산로17길 10,126.8492419,37.54821989,0,0
266,GS25,화곡열매점,서울특별시 강서구 화곡동 822-17,서울특별시 강서구 곰달래로49길 56,126.8570169,37.53411311,0,1
267,CU,목동먹자촌점,서울특별시 강서구 화곡동 783-10,서울특별시 강서구 곰달래로60가길 4,126.8630475,37.53038697,1,0
268,GS25,마곡동익점,서울특별시 강서구 마곡동 773-3,서울특별시 강서구 공항대로 195,126.8292573,37.55975486,1,0
269,CU,발산열린점,서울특별시 강서구 마곡동 795-7,서울특별시 강서구 마곡중앙6로 93,126.8376838,37.56012645,1,0
270,CU,등촌5단지점,서울특별시 강서구 등촌동 695-1,서울특별시 강서구 강서로62길 98,126.8449941,37.5616849,0,1
271,CU,송정역점,서울특별시 강서구 공항동 27-1,서울특별시 강서구 공항대로 43,126.8121499,37.56151218,1,0
272,GS25,화곡도래점,서울특별시 강서구 화곡동 967-23,서울특별시 강서구 까치산로20길 11,126.8508135,37.54831629,1,0
273,CU,88체육관점,서울특별시 강서구 화곡동 1093-76,서울특별시 강서구 공항대로 376,126.847174,37.55684063,0,0
274,CU,신월가로공원점,서울특별시 강서구 화곡동 986-1,서울특별시 강서구 화곡로51길 13,126.8473294,37.55042679,0,0
275,CU,편의점,서울특별시 강서구 등촌동 649-14,서울특별시 강서구 공항대로 509,126.8632155,37.55211257,0,1
276,GS25,마곡SB점,서울특별시 강서구 마곡동 739-3,서울특별시 강서구 마곡중앙5로 81,126.8187513,37.5670837,1,0
277,GS25,공항다솔점,서울특별시 강서구 공항동 1367-5,서울특별시 강서구 방화대로6마길 22,126.8178146,37.55400939,1,0
278,GS25,화곡공원점,서울특별시 강서구 화곡동 24-126,서울특별시 강서구 화곡로42가길 9,126.8458111,37.54614106,0,0
279,GS25,등촌현대점,서울특별시 강서구 등촌동 715,서울특별시 강서구 등촌로 163,126.8615738,37.54471728,0,1
280,GS25,강서센트레점,서울특별시 강서구 공항동 70-223,서울특별시 강서구 공항대로2길 25,126.808751,37.56029758,1,0
281,CU,서울식물원점,서울특별시 강서구 마곡동 812,서울특별시 강서구 마곡중앙로 136,126.8328996,37.57223415,0,1
282,세븐일레븐,S방화역점,서울특별시 강서구 방화동 829-15,서울특별시 강서구 금낭화로 132,126.8126172,37.57699654,1,0
283,세븐일레븐,화곡까치산로점,서울특별시 강서구 화곡동 98-150,서울특별시 강서구 까치산로 29,126.8435478,37.54247874,0,1
284,CU,마곡투웨니점,서울특별시 강서구 마곡동 784-6,서울특별시 강서구 강서로 443,126.8398916,37.56518493,0,1
285,GS25,화곡가로공원점,서울특별시 강서구 화곡동 400-85,서울특별시 강서구 가로공원로 217,126.8399192,37.53785687,0,0
286,CU,강서오토플렉스점,서울특별시 강서구 가양동 56-2,서울특별시 강서구 양천로 390,126.8449306,37.56579298,0,0
287,CU,마곡퀸즈점,서울특별시 강서구 마곡동 800-1,서울특별시 강서구 공항대로 212,126.8307769,37.55884186,1,0
288,세븐일레븐,개화중앙점,서울특별시 강서구 개화동 450-27,서울특별시 강서구 개화동로9길 7,126.800313,37.57900756,0,0
289,CU,마곡로뎀점,서울특별시 강서구 마곡동 799-1,서울특별시 강서구 공항대로 186,126.8279775,37.55908441,0,0
290,미니스톱,화곡재성점,서울특별시 강서구 화곡동 938-2,서울특별시 강서구 월정로20길 25,126.8399421,37.52980184,1,0
291,GS25,발산1단지점,서울특별시 강서구 내발산동 742,서울특별시 강서구 강서로47길 108,126.8305206,37.55351422,0,0
292,CU,강서가로공원점,서울특별시 강서구 화곡동 368-3,서울특별시 강서구 가로공원로 216,126.8399507,37.53728052,1,0
293,CU,염창오피스점,서울특별시 강서구 염창동 283-2,서울특별시 강서구 공항대로 653-9,126.8774609,37.54778874,1,0
294,세븐일레븐,화곡푸르지오점,서울특별시 강서구 화곡동 1091,서울특별시 강서구 화곡로13길 107,126.8304125,37.54233134,1,0
295,세븐일레븐,마곡대방디엠,서울특별시 강서구 마곡동 776,서울특별시 강서구 마곡동로10길 23,126.8393414,37.56854938,0,1
296,GS25,방화제일점,서울특별시 강서구 방화동 607-153,서울특별시 강서구 방화동로12길 14,126.8134407,37.56648081,0,1
297,세븐일레븐,마곡로뎀점,서울특별시 강서구 마곡동 799-1,서울특별시 강서구 공항대로 186,126.8279775,37.55908441,0,1
298,세븐일레븐,가양9단지점,서울특별시 강서구 가양동 1490,서울특별시 강서구 허준로 234,126.8637174,37.5585598,0,0
299,CU,화곡일등점,서울특별시 강서구 화곡동 1063,서울특별시 강서구 화곡로27가길 2,126.8407678,37.54224424,0,1
300,CU,이웰메디파크점,서울특별시 강서구 마곡동 801-7,서울특별시 강서구 마곡중앙4로 74,126.8349005,37.55787347,1,0
301,세븐일레븐,화곡메인점,서울특별시 강서구 화곡동 465-8,서울특별시 강서구 곰달래로49길 112,126.8550526,37.53604032,0,0
302,CU,강서부민병원점,서울특별시 강서구 등촌동 657,서울특별시 강서구 공항대로 389,126.8508862,37.55684979,1,0
303,세븐일레븐,화곡까치점,서울특별시 강서구 화곡동 105-82,서울특별시 강서구 까치산로2길 3,126.8424397,37.54096315,0,0
304,미니스톱,등촌청림점,서울특별시 강서구 등촌동 641-11,서울특별시 강서구 공항대로45길 44,126.8557876,37.55679828,0,0
305,GS25,화곡대원점,서울특별시 강서구 화곡동 1021,서울특별시 강서구 화곡로21길 87,126.835898,37.54468318,1,0
306,CU,마곡두산점,서울특별시 강서구 마곡동 759-1,서울특별시 강서구 마곡서로 152,126.8256231,37.56774694,0,1
307,GS25,우장산스카이점,서울특별시 강서구 내발산동 702-4,서울특별시 강서구 강서로 294,126.8366441,37.55201593,0,1
308,GS25,공항소담점,서울특별시 강서구 공항동 1349,서울특별시 강서구 방화대로6라길 26,126.8184941,37.55613362,0,0
309,GS25,김포공항역점,서울특별시 강서구 방화동 886,서울특별시 강서구 하늘길 38,126.8023643,37.56190888,0,1
310,GS25,강서메트로칸점,서울특별시 강서구 등촌동 656-52,서울특별시 강서구 공항대로45가길 11,126.8536599,37.55605681,0,1
311,GS25,강서우장점,서울특별시 강서구 화곡동 1012-7,서울특별시 강서구 강서로45다길 35,126.8349893,37.54635915,1,0
312,세븐일레븐,강서화곡로점,서울특별시 강서구 화곡동 980-21,서울특별시 강서구 화곡로 296,126.8490706,37.55053388,1,0
313,CU,가양모터리움점,서울특별시 강서구 가양동 51-3,서울특별시 강서구 양천로53길 30,126.8468884,37.56655998,0,1
314,CU,메트로점,서울특별시 강서구 화곡동 1074-30,서울특별시 강서구 화곡로26가길 2,126.8398375,37.54093761,1,0
315,세븐일레븐,2872S개화산역점,서울특별시 강서구 방화동 846,서울특별시 강서구 양천로 22,126.8061727,37.57221016,0,1
316,GS25,발산에너지점,서울특별시 강서구 등촌동 671-3,서울특별시 강서구 강서로56길 50,126.8415128,37.55917295,1,0
317,GS25,국립항공박물관점,서울특별시 강서구 공항동 1373-5,서울특별시 강서구 하늘길 112,126.8134089,37.55349666,0,1
318,GS25,등촌타운점,서울특별시 강서구 염창동 312,서울특별시 강서구 공항대로 543,126.8665978,37.55072146,0,1
319,CU,화곡시원점,서울특별시 강서구 화곡동 373-5,서울특별시 강서구 가로공원로76길 38,126.8373106,37.53533535,1,0
320,CU,마곡9단지점,서울특별시 강서구 마곡동 744,서울특별시 강서구 공항대로 103,126.8191553,37.56228526,0,1
321,세븐일레븐,등촌영일점,서울특별시 강서구 등촌동 511-10,서울특별시 강서구 등촌로51가길 27,126.8624225,37.54769887,0,0
322,미니스톱,한강강서1점,서울특별시 강서구 방화동 19-2,서울특별시 강서구 양천로27길 280-11,126.8208015,37.58494455,0,0
323,CU,염창JK블라썸호텔점,서울특별시 강서구 염창동 20-85,서울특별시 강서구 양천로65길 41-22,126.8677624,37.55677857,0,0
324,CU,강서마곡점,서울특별시 강서구 마곡동 14-6,서울특별시 강서구 양천로47나길 7,126.8383448,37.57149495,0,0
325,CU,마곡8단지점,서울특별시 강서구 마곡동 741,서울특별시 강서구 마곡서1로 81,126.8191339,37.56435741,0,0
326,세븐일레븐,화곡우장산점,서울특별시 강서구 화곡동 993-36,서울특별시 강서구 화곡로53길 58,126.8457656,37.55202437,0,0
327,세븐일레븐,등촌임광점,서울특별시 강서구 등촌동 562-5,서울특별시 강서구 등촌로 113,126.8634494,37.5404374,0,0
328,CU,가양3단지점,서울특별시 강서구 가양동 1475,서울특별시 강서구 허준로 139,126.8562568,37.56460577,0,1
329,GS25,뉴마곡12단지점,서울특별시 강서구 마곡동 798-12,서울특별시 강서구 마곡중앙1로 26,126.8238423,37.5586198,1,0
330,CU,화곡더숨점,서울특별시 강서구 화곡동 102-348,서울특별시 강서구 초록마을로34길 57,126.8450504,37.53823155,1,0
331,GS25,화곡화원점,서울특별시 강서구 화곡동 352-5,서울특별시 강서구 월정로30길 102,126.8413007,37.53559082,0,1
332,GS25,등촌월드점,서울특별시 강서구 등촌동 695,서울특별시 강서구 공항대로39길 74,126.8446167,37.56120366,0,1
